bb,sport_id,np,hgnd,roe,hr,team_count,sb,player_id,avg,sf,sac,wo,hpop,so,gidp_opp,gidp,ppa,ab,hldr,d,tpa,g,h,ibb,go,sport_code,tb,ao,slg,cs,r,ops,t,hbp,rbi,babip,go_ao,hfly,obp,sport,lob,xbh
0,1,15,0,0,0,1,0,669023,.000,0,0,0,0,3,1,0,3.75,4,0,0,4,1,0,0,0,mlb,0,1,.000,0,0,.000,0,0,0,.000,0.00,0,.000,MLB,5,0
7,1,591,14,2,2,1,4,680776,.236,1,0,0,0,50,21,1,3.86,144,16,6,153,43,34,0,32,mlb,54,29,.375,1,25,.650,4,1,12,.344,1.10,4,.275,MLB,59,12
7,1,687,8,3,0,5,0,543135,.078,0,14,0,0,97,19,0,3.95,153,4,0,174,94,12,0,49,mlb,12,9,.078,0,9,.197,0,0,2,.214,5.44,0,.119,MLB,88,0
0,1,0,0,0,0,1,0,650382,,0,0,0,0,0,0,0,,0,0,0,0,7,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
263,1,11096,186,23,95,4,13,571771,.239,25,6,2,0,565,339,37,3.92,2514,290,145,2831,875,602,11,594,mlb,1062,798,.422,4,363,.737,15,23,311,.270,0.74,126,.314,MLB,1009,255
3,1,903,15,1,0,7,0,448179,.113,1,12,0,0,111,33,4,3.30,256,13,5,274,150,29,0,99,mlb,34,31,.133,0,4,.263,0,2,13,.199,3.19,1,.130,MLB,147,5
0,1,8,0,0,0,1,0,656557,.000,0,0,0,0,1,0,0,8.00,1,0,0,1,1,0,0,0,mlb,0,0,.000,0,0,.000,0,0,0,,,0,.000,MLB,0,0
491,1,21456,421,52,274,4,25,502110,.291,48,0,3,5,1339,829,157,3.86,4986,683,319,5559,1330,1452,53,1184,mlb,2633,1163,.528,11,754,.883,20,30,867,.344,1.02,343,.355,MLB,2193,613
3,1,451,4,2,0,2,0,601713,.081,0,8,0,0,62,16,3,3.70,111,5,1,122,87,9,0,42,mlb,10,9,.090,0,7,.195,0,0,1,.184,4.67,0,.105,MLB,71,1
114,1,5000,101,20,22,3,2,608700,.232,7,4,0,1,262,196,32,3.79,1166,133,56,1319,409,270,10,346,mlb,398,318,.341,2,110,.655,3,28,129,.279,1.09,35,.313,MLB,532,81
68,1,2570,54,9,7,6,9,608701,.233,6,0,0,1,134,81,20,3.98,563,58,28,646,242,131,4,183,mlb,182,136,.323,4,77,.641,1,5,40,.290,1.35,18,.318,MLB,272,36
0,1,24,0,0,0,4,0,570663,.000,0,1,0,0,3,2,1,4.80,4,0,0,5,190,0,0,3,mlb,0,0,.000,0,0,.000,0,0,0,.000,3.00,0,.000,MLB,2,0
0,1,0,0,0,0,1,0,617228,,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
292,1,13838,224,31,169,2,109,596115,.268,17,2,4,3,950,440,50,4.06,3064,400,195,3410,808,822,14,536,mlb,1578,804,.515,30,501,.852,27,35,498,.333,0.67,195,.337,MLB,1308,391
2,1,128,2,0,0,2,0,621381,.207,0,4,0,0,16,5,0,3.66,29,4,2,35,93,6,0,7,mlb,8,4,.276,0,1,.534,0,0,1,.462,1.75,0,.258,MLB,12,2
0,1,0,0,0,0,1,0,570488,,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,mlb,0,0,,0,0,.000,0,0,0,,,0,,MLB,0,0
151,1,9416,169,15,50,1,28,543877,.260,15,8,2,1,438,346,66,3.92,2215,304,117,2402,667,577,6,674,mlb,854,575,.386,13,260,.695,5,13,253,.303,1.17,103,.310,MLB,987,172
119,1,6154,151,6,37,2,14,657077,.282,16,1,4,2,238,232,35,3.89,1435,190,90,1580,421,405,10,474,mlb,614,340,.428,5,209,.765,4,9,162,.313,1.39,62,.338,MLB,587,131
9,1,1134,16,4,0,2,1,608379,.092,1,29,0,0,125,43,3,3.91,251,6,2,290,159,23,0,107,mlb,25,29,.100,0,16,.222,0,0,16,.181,3.69,1,.123,MLB,131,2
0,1,5,0,0,0,1,0,676477,.500,0,0,0,0,1,1,0,2.50,2,1,0,2,4,1,0,0,mlb,1,0,.500,0,0,1.000,0,0,0,1.000,,0,.500,MLB,0,0
1,1,84,1,1,0,1,0,657136,.263,1,0,0,0,8,4,0,4.00,19,3,1,21,8,5,0,5,mlb,8,2,.421,0,3,.707,1,0,2,.417,2.50,1,.286,MLB,9,2
260,1,10216,226,29,107,1,21,575929,.260,13,3,1,1,634,305,63,3.89,2281,247,123,2628,681,593,8,674,mlb,1055,430,.463,16,328,.815,9,71,337,.313,1.57,119,.352,MLB,967,239
0,1,5,0,0,0,1,0,664123,,1,0,0,0,0,0,0,5.00,0,0,0,1,13,0,0,0,mlb,0,1,,0,0,.000,0,0,1,.000,0.00,0,.000,MLB,0,0
